"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceHealth","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal","mv"
383,"2/6/2023 22:13","en","game",1,"1",0,"0",33,"0","0",0,NA,NA,"b","artistic","kind","artistic","kind","sexy","kind","moral","sex","moral","moral","moral","pathogen",1,2,3,3,1,2,2,1,3,3,2,2,3,2,3,3,1,2,3,1,3,8,6,6,6,7,6,6,8,6,6,2,0,3,1,0,4,1,1,2.57142857142857,2.57142857142857,1.42857142857143,2.19047619047619,8.44874934300641
393,"12/29/2022 22:40","pl",NA,1,"1",0,"0",22,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","healthy","sexy","sex","moral","sex","sex","moral","moral",4,3,2,6,0,2,2,1,0,6,1,5,2,0,2,1,0,3,6,2,4,7,8,9,8,6,8,7,6,8,6,2,1,1,1,1,3,0,3,3.85714285714286,2.57142857142857,1,2.47619047619048,9.13392707897848
395,"2/6/2023 20:37","en","game",1,"1",3,"1",32,"1","1",1,11,NA,"a","sexy","healthy","kind","wealthy","sexy","healthy","pathogen","sex","moral","pathogen","moral","moral",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,6,5,6,6,6,6,6,6,0,2,1,2,1,3,2,1,3,3,3,3,7.3777856246194
403,"2/6/2023 20:38","en","game",1,"1",0,"0",55,"1","1",2,6,10,"a","wealthy","wealthy","wealthy","healthy","artistic","healthy","moral","moral","moral","pathogen","sex","pathogen",5,4,4,5,6,5,5,4,4,4,3,4,4,3,4,5,4,3,4,4,3,6,10,9,8,8,8,10,9,9,8,1,2,0,0,3,3,2,1,4.57142857142857,3.85714285714286,4,4.14285714285714,8.79765318643816
404,"3/21/2023 13:19","en","game",1,"1",5,"1",30,"1","0",0,NA,NA,"a","sexy","kind","kind","artistic","sexy","wealthy","pathogen","pathogen","moral","moral","moral","pathogen",6,1,2,2,3,5,3,3,3,3,3,3,2,4,3,2,4,3,2,3,2,3,10,3,4,4,6,7,5,8,6,1,0,2,2,1,3,3,0,2.85714285714286,3,3,2.95238095238095,6.33792093951162
405,"3/7/2023 18:56","en","game",1,"1",0,"0",27,"1","1",1,1,NA,"a","healthy","healthy","kind","healthy","kind","kind","moral","moral","moral","pathogen","sex","pathogen",4,2,5,2,4,4,3,5,5,4,5,4,3,5,2,1,3,2,5,3,4,9,10,7,10,8,11,11,10,9,10,0,3,3,0,0,3,2,1,3.14285714285714,3.71428571428571,3.85714285714286,3.57142857142857,7.97998696170121
406,"2/23/2023 23:56","en","game",1,"1",1,"0",32,"1","1",1,2,NA,"a","healthy","artistic","sexy","artistic","sexy","sexy","moral","moral","moral","moral","moral","sex",5,1,1,3,2,2,4,0,3,3,2,3,3,1,1,4,1,4,4,1,1,7,8,9,10,9,8,8,8,9,8,2,1,0,3,0,5,0,1,3.71428571428571,2.14285714285714,1.14285714285714,2.33333333333333,8.58013795372484
409,"2/24/2023 2:32","en","game",1,"1",4,"1",30,"1","1",2,5,6,"b","kind","artistic","healthy","healthy","sexy","artistic","pathogen","sex","pathogen","sex","moral","sex",4,3,2,3,3,4,4,3,3,4,3,3,4,3,2,3,4,3,3,4,3,5,6,6,5,7,7,6,7,6,5,2,2,1,1,0,1,2,3,3.57142857142857,2.85714285714286,3.28571428571429,3.23809523809524,8.25418784449629
412,"12/16/2022 17:29","pl",NA,1,"1",1,"0",32,"1","0",0,NA,NA,"b","artistic","kind","artistic","kind","artistic","artistic","pathogen","moral","sex","moral","moral","moral",1,1,5,6,0,0,1,0,1,5,0,4,3,0,3,5,2,1,6,0,1,7,6,7,6,8,6,8,8,7,6,4,0,2,0,0,4,1,1,3.85714285714286,2.14285714285714,0.428571428571429,2.14285714285714,8.84318089025341
416,"12/28/2022 15:19","pl","AB12",1,"1",0,"0",20,"1","0",0,NA,NA,"b","kind","wealthy","artistic","kind","kind","artistic","moral","sex","moral","moral","moral","moral",2,2,3,4,0,1,1,1,1,5,3,0,5,2,3,5,6,2,6,1,5,6,8,8,7,9,6,8,8,8,6,2,0,3,0,1,5,0,1,4,2.14285714285714,2.14285714285714,2.76190476190476,9.23521433110866
419,"1/7/2023 21:49","pl","KG0902",1,"1",0,"0",20,"1","0",0,NA,NA,"a","kind","sexy","wealthy","healthy","sexy","artistic","moral","moral","sex","moral","pathogen","sex",0,0,1,4,0,0,0,0,0,6,0,0,0,0,1,0,3,4,0,0,0,7,9,8,7,8,6,6,7,10,8,1,1,1,2,1,3,1,2,1.42857142857143,0.857142857142857,0.428571428571429,0.904761904761905,9.24349188586706
421,"3/29/2023 16:25","en",NA,1,"1",0,"0",23,"0","0",0,NA,NA,"a","artistic","wealthy","wealthy","artistic","artistic","sexy","moral","moral","moral","moral","moral","moral",5,3,4,4,3,5,1,2,5,5,6,5,6,3,6,2,6,5,6,0,5,8,10,10,8,6,9,10,10,6,6,3,0,0,1,2,6,0,0,4.14285714285714,5,3.28571428571429,4.14285714285714,8.30433862764055
424,"2/13/2023 20:57","pl","AB12",1,"1",0,"0",25,"0","0",0,NA,NA,"b","artistic","wealthy","healthy","sexy","wealthy","artistic","moral","pathogen","moral","pathogen","moral","moral",4,0,3,6,0,1,0,0,1,6,1,3,2,0,3,5,2,0,5,0,3,7,6,7,4,6,7,9,6,11,10,2,1,0,1,2,4,2,0,4,2,0.428571428571429,2.14285714285714,8.07884851058864
425,"1/23/2023 21:59","pl",NA,1,"1",2,"0",22,"1","0",0,NA,NA,"b","artistic","artistic","healthy","healthy","wealthy","artistic","moral","pathogen","pathogen","moral","moral","pathogen",0,2,5,5,0,0,0,0,2,5,2,2,2,0,1,2,1,1,3,0,3,8,4,8,9,7,6,6,10,8,8,3,2,0,0,1,3,3,0,2.42857142857143,2,0.714285714285714,1.71428571428571,8.09180886291812
428,"2/14/2023 11:37","en",NA,1,"1",3,"0",22,"0","0",0,NA,NA,"b","artistic","artistic","healthy","kind","sexy","artistic","pathogen","pathogen","moral","moral","sex","moral",5,6,4,5,0,0,0,4,4,6,6,3,1,6,4,3,6,5,4,0,0,8,7,9,7,6,8,8,9,8,9,3,1,1,1,0,3,2,1,3.42857142857143,2.85714285714286,4,3.42857142857143,8.88591139686385
430,"2/6/2023 20:44","en","game",1,"1",4,"1",46,"1","1",1,4,NA,"b","kind","wealthy","artistic","sexy","artistic","wealthy","moral","pathogen","pathogen","pathogen","moral","moral",4,3,4,5,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,5,4,4,4,4,6,4,6,6,5,6,6,2,0,1,1,2,3,3,0,4.14285714285714,3.85714285714286,4.28571428571429,4.09523809523809,6.85232465424013
434,"2/7/2023 0:46","en","game",1,"1",0,"0",34,"0","0",0,NA,NA,"b","artistic","sexy","kind","artistic","wealthy","kind","moral","sex","pathogen","moral","moral","moral",0,3,5,4,1,6,0,1,4,4,5,3,1,1,5,4,0,2,2,1,1,6,3,7,6,1,6,7,7,7,6,2,0,2,1,1,4,1,1,2.14285714285714,3.71428571428571,1.71428571428571,2.52380952380952,6.35403712752177
435,"2/24/2023 1:49","en","game",1,"1",6,"1",22,"0","0",0,NA,NA,"a","artistic","sexy","healthy","sexy","kind","sexy","moral","sex","moral","moral","moral","moral",3,2,4,3,0,3,0,0,0,4,2,5,0,2,4,0,2,5,0,0,6,6,6,7,4,5,8,6,6,7,8,1,1,1,3,0,5,0,1,1.42857142857143,3.85714285714286,1.14285714285714,2.14285714285714,7.89733659002734
436,"2/12/2023 14:27","pl",NA,1,"1",6,"1",19,"1","0",0,NA,NA,"b","healthy","sexy","healthy","kind","artistic","healthy","pathogen","pathogen","moral","moral","sex","pathogen",0,0,1,4,0,3,0,0,1,5,0,6,6,0,0,2,0,2,3,0,4,7,4,10,8,4,7,9,10,8,6,1,3,1,1,0,2,3,1,2.85714285714286,2.42857142857143,0,1.76190476190476,7.57962183684556
437,"3/8/2023 1:50","en","game",1,"1",4,"1",26,"1","0",0,NA,NA,"a","wealthy","healthy","kind","sexy","healthy","wealthy","moral","sex","sex","moral","moral","sex",3,4,3,4,5,6,5,4,3,4,5,3,2,4,5,6,4,3,4,5,4,10,6,5,3,2,9,3,2,8,5,0,2,1,1,2,3,0,3,4,3.85714285714286,4.42857142857143,4.09523809523809,6.12237079770994
438,"12/16/2022 20:53","pl",NA,1,"1",0,"0",22,"0","0",0,NA,NA,"b","kind","artistic","kind","kind","kind","kind","moral","pathogen","moral","moral","moral","moral",5,4,5,6,0,2,0,0,0,6,2,4,3,1,2,4,6,1,6,1,6,3,9,9,7,9,7,9,9,7,6,1,0,5,0,0,5,1,0,4.28571428571429,2.85714285714286,2,3.04761904761905,8.16947465320267
439,"3/7/2023 18:51","en",NA,1,"1",4,"1",35,"1","1",2,12,16,"b","wealthy","artistic","wealthy","healthy","kind","wealthy","moral","moral","sex","moral","pathogen","moral",3,3,4,3,3,3,4,3,3,2,3,3,3,4,4,3,3,4,4,3,3,7,7,8,9,8,7,7,9,7,8,1,1,1,0,3,4,1,1,3.14285714285714,3.42857142857143,3.14285714285714,3.23809523809524,9.17960663856311
440,"2/24/2023 0:24","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"a","wealthy","artistic","wealthy","wealthy","sexy","kind","moral","pathogen","sex","moral","pathogen","sex",5,3,2,3,4,5,3,2,4,5,2,4,3,2,5,4,3,2,3,4,3,8,7,6,9,6,9,8,7,6,8,1,0,1,1,3,2,2,2,3.71428571428571,3.57142857142857,2.85714285714286,3.38095238095238,8.4643468970256
441,"2/24/2023 0:03","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"a","healthy","kind","healthy","artistic","kind","healthy","moral","pathogen","pathogen","moral","moral","pathogen",2,1,2,3,4,2,1,3,4,2,3,1,2,4,2,1,4,2,3,4,2,6,8,7,6,8,6,8,7,8,5,1,3,2,0,0,3,3,0,2,2.14285714285714,3.28571428571429,2.47619047619048,9.10739203947454
446,"1/5/2023 15:36","pl","KG0902",1,"1",0,"0",22,"1","0",0,NA,NA,"a","wealthy","wealthy","kind","kind","sexy","sexy","sex","moral","pathogen","moral","sex","pathogen",3,1,4,6,0,1,0,1,2,3,0,2,4,2,2,1,2,5,2,6,4,5,7,8,7,8,6,6,8,9,6,0,0,2,2,2,2,2,2,2.71428571428571,2.85714285714286,1.71428571428571,2.42857142857143,9.25136612760501
449,"12/17/2022 2:47","pl",NA,1,"1",0,"0",28,"0","0",0,NA,NA,"a","artistic","sexy","kind","kind","wealthy","sexy","moral","moral","sex","pathogen","moral","moral",2,1,5,6,0,1,5,1,1,6,0,6,5,0,4,5,3,5,2,0,1,8,9,10,10,9,7,8,7,9,6,1,0,2,2,1,4,1,1,4.42857142857143,3.28571428571429,0.714285714285714,2.80952380952381,8.15978843585227
451,"2/12/2023 11:26","pl",NA,1,"1",6,"1",20,"0","0",0,NA,NA,"b","sexy","kind","kind","wealthy","kind","sexy","moral","moral","moral","sex","sex","sex",0,2,5,3,0,3,1,0,4,4,1,5,2,0,3,0,3,6,2,0,6,6,7,5,10,6,7,8,5,11,11,0,0,3,2,1,3,0,3,1.71428571428571,4.57142857142857,0.857142857142857,2.38095238095238,8.07730684424337
453,"2/6/2023 20:29","en","game",1,"1",5,"1",35,"1","1",2,5,10,"a","kind","healthy","kind","sexy","healthy","kind","sex","sex","moral","moral","moral","sex",3,1,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,4,3,4,3,2,4,2,4,4,1,6,6,4,8,0,2,3,1,0,3,0,3,2.57142857142857,2.14285714285714,2.42857142857143,2.38095238095238,5.67953953833355
454,"1/29/2023 16:26","pl","KG0902",1,"1",1,"0",23,"1","0",0,NA,NA,"b","artistic","kind","artistic","kind","wealthy","kind","moral","moral","pathogen","moral","sex","sex",6,1,4,6,0,0,1,0,2,5,0,3,1,0,1,3,3,4,4,1,2,8,6,8,5,7,7,7,8,7,7,2,0,3,0,1,3,1,2,3.71428571428571,2.28571428571429,0.714285714285714,2.23809523809524,8.47353928824658
459,"2/2/2023 15:43","pl",NA,1,"1",3,"0",19,"1","0",0,NA,NA,"b","artistic","wealthy","healthy","artistic","artistic","artistic","moral","pathogen","moral","moral","moral","sex",0,5,2,6,0,6,0,0,4,6,1,4,6,0,6,3,5,5,4,0,6,6,6,7,8,2,6,7,9,9,6,4,1,0,0,1,4,1,1,3.57142857142857,4.71428571428571,1.57142857142857,3.28571428571429,7.39493213124436
462,"2/6/2023 21:37","en","game",1,"1",4,"1",32,"1","1",1,13,NA,"a","kind","wealthy","kind","artistic","kind","kind","moral","sex","pathogen","sex","moral","pathogen",4,5,5,5,5,5,4,4,3,4,4,4,2,5,4,4,5,3,2,3,5,6,11,7,9,6,10,10,8,8,9,1,0,4,0,1,2,2,2,3.57142857142857,4.14285714285714,4.42857142857143,4.04761904761905,8.14535395987364
463,"2/12/2023 10:36","pl",NA,1,"1",5,"1",22,"1","0",0,NA,NA,"b","artistic","wealthy","kind","healthy","artistic","artistic","moral","moral","pathogen","pathogen","sex","moral",4,3,3,5,0,0,3,0,1,5,2,1,3,0,1,2,4,4,4,0,3,7,6,8,6,7,7,6,7,8,7,3,1,1,0,1,3,2,1,3.71428571428571,1.85714285714286,1.28571428571429,2.28571428571429,8.95877169717644
464,"2/6/2023 22:48","en",NA,1,"1",0,"0",37,"1","1",3,8,17,"b","kind","wealthy","artistic","artistic","sexy","sexy","moral","sex","pathogen","moral","moral","moral",2,6,6,6,3,6,2,1,5,6,3,6,6,4,6,4,3,6,5,0,6,6,6,10,1,10,9,9,10,7,10,2,0,1,2,1,4,1,1,4.42857142857143,5.85714285714286,2.85714285714286,4.38095238095238,6.68464726069635
466,"2/22/2023 0:03","pl","AB12",1,"1",0,"0",23,"2","0",0,NA,NA,"a","sexy","artistic","kind","kind","wealthy","artistic","pathogen","pathogen","pathogen","sex","moral","moral",0,4,6,2,0,4,3,3,5,3,3,3,3,3,2,3,3,4,4,0,2,4,8,10,6,4,6,6,6,6,5,2,0,2,1,1,2,3,1,2.57142857142857,3.71428571428571,2.28571428571429,2.85714285714286,7.82887448353845
470,"1/7/2023 21:29","pl","KG0902",1,"1",0,"0",21,"0","0",0,NA,NA,"b","sexy","sexy","wealthy","artistic","sexy","sexy","moral","sex","sex","sex","moral","sex",0,0,5,2,0,2,0,0,1,5,6,4,0,0,3,0,0,4,0,0,2,11,10,7,10,9,6,6,6,11,6,1,0,0,4,1,2,0,4,1,3,0.857142857142857,1.61904761904762,7.27948655293934
471,"3/29/2023 16:10","en","game",1,"1",1,"0",18,"1","0",0,NA,NA,"b","sexy","sexy","healthy","healthy","wealthy","kind","pathogen","sex","pathogen","moral","moral","pathogen",5,4,6,6,0,4,5,3,4,6,1,6,6,4,5,4,3,5,6,4,4,5,6,8,8,6,6,8,8,8,7,0,2,1,2,1,2,3,1,5.42857142857143,4.85714285714286,2.71428571428571,4.33333333333333,8.82791382218267
477,"12/16/2022 16:59","pl",NA,1,"1",5,"1",28,"0","0",0,NA,NA,"b","wealthy","sexy","artistic","healthy","sexy","sexy","sex","moral","moral","pathogen","sex","sex",3,4,5,5,1,3,2,2,3,5,4,5,6,1,5,3,5,5,5,3,3,10,11,10,8,7,10,11,11,11,7,1,1,0,3,1,2,1,3,4.14285714285714,4.14285714285714,2.85714285714286,3.71428571428571,7.60191262768274
478,"2/6/2023 20:55","en","game",1,"1",0,"0",34,"1","0",0,NA,NA,"b","artistic","kind","artistic","healthy","wealthy","artistic","moral","sex","pathogen","moral","pathogen","pathogen",2,5,5,4,0,1,3,1,2,3,1,4,4,0,4,3,2,4,4,1,4,6,6,5,6,7,5,6,7,7,6,3,1,1,0,1,2,3,1,3.28571428571429,3.42857142857143,1.42857142857143,2.71428571428571,8.28544118381539
486,"2/12/2023 23:31","pl",NA,1,"1",5,"1",20,"0","0",0,NA,NA,"b","sexy","artistic","healthy","sexy","wealthy","kind","moral","pathogen","moral","pathogen","moral","moral",3,2,5,4,0,1,0,0,1,4,0,6,3,0,3,4,1,5,3,0,6,2,6,6,7,6,4,8,8,8,8,1,1,1,2,1,4,2,0,3,3.85714285714286,0.428571428571429,2.42857142857143,7.61538711719847
487,"3/10/2023 23:03","en",NA,1,"1",0,"0",35,"1","1",2,5,8,"a","wealthy","artistic","kind","healthy","kind","artistic","sex","pathogen","sex","pathogen","sex","sex",1,1,0,1,1,0,6,5,6,4,4,2,3,4,3,4,4,5,4,5,3,4,3,2,5,6,4,2,11,11,11,2,1,2,0,1,0,2,4,3.28571428571429,2.71428571428571,3.42857142857143,3.14285714285714,6.19789423733996
491,"3/7/2023 18:48","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"b","kind","artistic","wealthy","wealthy","wealthy","kind","pathogen","sex","pathogen","moral","sex","sex",5,3,5,6,5,6,4,5,4,3,4,3,4,5,4,5,6,4,5,6,5,3,2,4,2,6,3,6,8,10,8,1,0,2,0,3,1,2,3,4.57142857142857,4.42857142857143,4.85714285714286,4.61904761904762,5.71474439060398
493,"2/6/2023 22:04","en","game",1,"1",0,"0",25,"1","1",1,6,NA,"a","kind","artistic","wealthy","artistic","kind","healthy","sex","sex","pathogen","pathogen","sex","sex",5,4,5,4,5,6,4,4,5,4,3,3,2,3,4,3,2,3,4,5,4,9,8,6,7,9,7,9,9,8,9,2,1,2,0,1,0,2,4,3.71428571428571,4.28571428571429,3.71428571428571,3.9047619047619,8.3238909451393
495,"3/21/2023 15:11","en","game",1,"1",0,"0",27,"1","1",1,2,NA,"a","wealthy","kind","healthy","kind","healthy","artistic","moral","pathogen","moral","moral","sex","moral",4,3,2,4,5,4,3,2,4,5,4,4,3,5,6,3,2,1,4,3,5,9,4,7,3,8,2,8,4,6,3,1,2,2,0,1,4,1,1,3.71428571428571,3.71428571428571,3.42857142857143,3.61904761904762,7.11637944768873
496,"2/6/2023 21:57","en","game",1,"1",3,"0",32,"1","1",1,2,NA,"a","kind","wealthy","wealthy","kind","kind","kind","sex","sex","pathogen","sex","pathogen","sex",3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,0,0,4,0,2,0,2,4,2.57142857142857,2.42857142857143,2.57142857142857,2.52380952380952,8.48816738357637
497,"12/19/2022 10:36","pl",NA,1,"1",0,"0",29,"1","0",0,NA,NA,"b","healthy","sexy","sexy","artistic","kind","sexy","sex","pathogen","sex","pathogen","sex","sex",5,0,1,5,0,1,3,0,1,5,0,1,5,3,3,4,2,1,5,1,5,9,8,6,10,8,6,8,10,9,6,1,1,1,3,0,0,2,4,4.57142857142857,1.85714285714286,0.857142857142857,2.42857142857143,8.10095323890562
498,"3/29/2023 16:12","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"b","sexy","kind","kind","sexy","kind","healthy","sex","sex","moral","sex","moral","sex",1,2,3,2,2,3,2,3,2,3,3,2,1,2,1,2,3,4,3,3,4,7,7,7,9,8,9,8,9,7,9,0,1,3,2,0,2,0,4,2,2.71428571428571,2.57142857142857,2.42857142857143,9.04679444869154
499,"3/3/2023 14:24","pl","INSTAGRAM STUDY",1,"1",5,"1",26,"1","0",0,NA,NA,"b","artistic","artistic","artistic","kind","artistic","artistic","sex","pathogen","moral","moral","sex","sex",3,2,5,6,0,1,2,0,2,6,3,4,5,1,3,4,2,4,5,0,2,8,7,9,5,10,7,6,8,8,7,5,0,1,0,0,2,1,3,4.42857142857143,3,1.14285714285714,2.85714285714286,8.18206239949178
501,"1/4/2023 0:26","pl","KG0902",1,"1",0,"0",21,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","sexy","wealthy","artistic","moral","pathogen","moral","pathogen","sex","sex",4,1,3,6,0,5,1,0,0,1,1,6,4,3,4,6,3,0,5,1,0,7,9,10,6,9,6,9,9,9,6,2,0,0,1,3,2,2,2,3.85714285714286,2.57142857142857,1.28571428571429,2.57142857142857,8.54585875893323
504,"1/30/2023 17:40","pl","MISIAK",1,"1",6,"1",30,"1","0",0,NA,NA,"b","artistic","artistic","kind","kind","healthy","artistic","moral","sex","pathogen","pathogen","moral","sex",4,6,3,5,0,0,5,0,0,6,2,5,6,0,0,6,4,5,5,0,4,8,7,9,5,8,6,7,8,6,6,3,1,2,0,0,2,2,2,5.28571428571429,2.42857142857143,1.71428571428571,3.14285714285714,8.56199440811083
505,"2/6/2023 23:35","en","game",1,"1",0,"0",39,"1","1",2,7,11,"b","artistic","wealthy","artistic","kind","sexy","wealthy","moral","pathogen","sex","pathogen","moral","sex",4,3,5,6,0,3,5,0,2,5,0,5,6,1,3,5,2,5,6,0,4,6,7,5,4,6,6,7,6,6,6,2,0,1,1,2,2,2,2,5.28571428571429,3.85714285714286,0.857142857142857,3.33333333333333,7.79418090948457
508,"2/6/2023 21:35","en","game",1,"1",0,"0",36,"0","0",0,NA,NA,"b","kind","artistic","artistic","artistic","wealthy","artistic","pathogen","sex","pathogen","pathogen","moral","sex",4,3,2,5,2,1,5,2,1,5,1,1,5,3,1,4,2,2,5,3,4,9,5,7,4,7,8,8,9,8,7,4,0,1,0,1,1,3,2,4.71428571428571,1.71428571428571,2.28571428571429,2.9047619047619,7.66403147041887
512,"12/28/2022 9:27","pl",NA,1,"1",6,"1",22,"0","0",0,NA,NA,"b","healthy","sexy","kind","sexy","sexy","sexy","moral","moral","moral","moral","moral","sex",2,5,6,3,4,5,3,4,2,2,5,6,2,3,6,2,2,1,3,1,1,8,8,8,4,5,7,6,8,10,6,0,1,1,4,0,5,0,1,2.42857142857143,3.85714285714286,3.42857142857143,3.23809523809524,7.95122238592517
515,"2/24/2023 2:05","en",NA,1,"1",0,"0",30,"1","1",1,NA,NA,"b","artistic","healthy","artistic","artistic","wealthy","artistic","sex","moral","moral","moral","moral","moral",4,3,5,5,3,4,4,2,4,6,5,5,5,3,5,4,5,2,5,1,3,5,5,10,8,11,4,6,9,8,7,4,1,0,0,1,5,0,1,4.71428571428571,4,3.14285714285714,3.95238095238095,7.75490475148667
516,"12/16/2022 17:57","pl",NA,1,"1",0,"0",25,"1","0",0,NA,NA,"b","artistic","artistic","artistic","healthy","artistic","artistic","sex","sex","moral","sex","moral","moral",4,0,3,5,0,1,2,0,2,5,0,5,5,0,2,1,1,4,5,0,3,6,7,10,8,8,6,8,10,8,8,5,1,0,0,0,3,0,3,3.85714285714286,2.85714285714286,0.142857142857143,2.28571428571429,9.0275608707573
517,"1/7/2023 14:27","pl","KG0902",1,"1",0,"0",21,"0","0",0,NA,NA,"b","artistic","sexy","healthy","sexy","sexy","wealthy","pathogen","sex","moral","moral","moral","sex",5,3,3,6,2,6,2,2,3,6,6,5,6,4,5,5,3,6,6,2,6,7,10,8,10,10,9,9,8,10,6,1,1,0,3,1,3,1,2,5.14285714285714,4.85714285714286,3.14285714285714,4.38095238095238,8.05585187443025
520,"1/2/2023 21:36","pl","KG0902",1,"1",0,"0",22,"1","0",0,NA,NA,"a","artistic","sexy","healthy","sexy","wealthy","sexy","sex","pathogen","moral","pathogen","moral","sex",5,2,3,6,0,1,0,0,0,6,3,4,4,0,5,6,1,4,2,1,1,3,10,8,8,9,6,7,8,9,7,1,1,0,3,1,2,2,2,4.14285714285714,2.57142857142857,1,2.57142857142857,8.01345057931522
521,"3/13/2023 23:08","en","game",1,"1",4,"1",30,"1","1",2,10,12,"a","wealthy","kind","artistic","healthy","kind","wealthy","moral","moral","pathogen","moral","moral","pathogen",4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,5,6,7,7,6,7,7,7,6,7,1,1,2,0,2,4,2,0,4.42857142857143,4.28571428571429,4.57142857142857,4.42857142857143,8.73344704863917
522,"3/29/2023 17:39","en","game",1,"1",0,"0",35,"0","0",0,NA,NA,"b","artistic","kind","artistic","kind","sexy","kind","moral","moral","moral","moral","sex","moral",0,1,2,2,0,2,0,0,2,2,1,2,2,1,3,2,1,1,2,1,3,7,6,6,6,6,6,6,7,7,6,2,0,3,1,0,5,0,1,1.42857142857143,2.14285714285714,0.714285714285714,1.42857142857143,8.47135714727298
523,"1/29/2023 23:10","pl","KG0902",1,"1",0,"0",22,"0","0",0,NA,NA,"a","sexy","healthy","sexy","artistic","kind","sexy","sex","moral","moral","moral","moral","pathogen",1,2,4,4,2,3,0,0,2,6,3,4,3,2,4,3,3,5,3,1,3,5,6,6,10,6,6,7,6,10,6,1,1,1,3,0,4,1,1,2.85714285714286,3.57142857142857,1.85714285714286,2.76190476190476,8.14116501816005
524,"2/6/2023 20:41","en",NA,1,"1",1,"0",33,"1","1",2,5,10,"a","artistic","kind","sexy","sexy","wealthy","sexy","moral","sex","sex","sex","sex","moral",5,4,3,4,4,3,4,5,4,4,3,3,4,3,4,5,4,3,4,3,4,6,8,9,7,7,10,9,8,9,8,1,0,1,3,1,2,0,4,4.28571428571429,3.42857142857143,3.71428571428571,3.80952380952381,9.44115786956514
528,"2/6/2023 20:31","en","game",1,"1",0,"0",35,"1","1",2,2,3,"b","healthy","sexy","artistic","sexy","wealthy","sexy","moral","sex","pathogen","sex","moral","moral",3,4,3,4,1,4,3,4,3,4,5,3,4,3,4,3,4,3,4,5,4,8,8,7,9,9,10,9,10,10,10,1,1,0,3,1,3,1,2,3.57142857142857,3.42857142857143,3.71428571428571,3.57142857142857,8.68354822819455
533,"2/23/2023 23:48","en","game",1,"1",0,"0",27,"0","0",0,NA,NA,"b","wealthy","artistic","kind","kind","healthy","artistic","pathogen","sex","sex","pathogen","pathogen","moral",5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,8,6,5,3,4,3,3,4,2,1,2,0,1,1,3,2,4.85714285714286,4.85714285714286,4.85714285714286,4.85714285714286,8.18512093840101
536,"1/23/2023 18:20","en","INSTAGRAM STUDY",1,"1",4,"1",18,"0","0",0,NA,NA,"b","artistic","wealthy","kind","artistic","artistic","artistic","moral","sex","pathogen","pathogen","moral","pathogen",2,2,4,5,0,1,2,0,4,4,3,4,3,1,0,5,6,5,6,0,5,6,4,6,4,7,6,5,6,5,6,4,0,1,0,1,2,3,1,3.85714285714286,3.28571428571429,1.71428571428571,2.95238095238095,7.55374646068711
537,"1/23/2023 20:40","pl",NA,1,"1",6,"1",22,"0","0",0,NA,NA,"a","artistic","wealthy","artistic","kind","sexy","sexy","pathogen","moral","pathogen","moral","sex","moral",1,0,2,4,0,3,2,0,1,5,0,2,4,0,0,3,2,1,3,0,3,6,5,6,4,4,7,6,6,8,7,2,0,1,2,1,3,2,1,3.14285714285714,1.71428571428571,0.285714285714286,1.71428571428571,7.33853130060485
538,"12/16/2022 17:03","pl",NA,1,"1",0,"0",26,"1","1",1,1,NA,"b","artistic","healthy","kind","healthy","sexy","sexy","moral","sex","moral","moral","moral","pathogen",2,5,6,6,3,5,3,4,4,6,6,6,2,4,3,2,6,6,3,2,5,4,6,6,7,7,6,8,6,7,7,1,2,1,2,0,4,1,1,3.42857142857143,5,4.28571428571429,4.23809523809524,8.38534234539832
