"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceHealth","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal","mv"
464,"2/6/2023 22:48","en",NA,1,"1",0,"0",37,"1","1",3,8,17,"b","kind","wealthy","artistic","artistic","sexy","sexy","moral","sex","pathogen","moral","moral","moral",2,6,6,6,3,6,2,1,5,6,3,6,6,4,6,4,3,6,5,0,6,6,6,10,1,10,9,9,10,7,10,2,0,1,2,1,4,1,1,4.42857142857143,5.85714285714286,2.85714285714286,4.38095238095238,6.68463280220789
466,"2/22/2023 0:03","pl","AB12",1,"1",0,"0",23,"2","0",0,NA,NA,"a","sexy","artistic","kind","kind","wealthy","artistic","pathogen","pathogen","pathogen","sex","moral","moral",0,4,6,2,0,4,3,3,5,3,3,3,3,3,2,3,3,4,4,0,2,4,8,10,6,4,6,6,6,6,5,2,0,2,1,1,2,3,1,2.57142857142857,3.71428571428571,2.28571428571429,2.85714285714286,7.80683189211975
470,"1/7/2023 21:29","pl","KG0902",1,"1",0,"0",21,"0","0",0,NA,NA,"b","sexy","sexy","wealthy","artistic","sexy","sexy","moral","sex","sex","sex","moral","sex",0,0,5,2,0,2,0,0,1,5,6,4,0,0,3,0,0,4,0,0,2,11,10,7,10,9,6,6,6,11,6,1,0,0,4,1,2,0,4,1,3,0.857142857142857,1.61904761904762,7.31545178876836
471,"3/29/2023 16:10","en","game",1,"1",1,"0",18,"1","0",0,NA,NA,"b","sexy","sexy","healthy","healthy","wealthy","kind","pathogen","sex","pathogen","moral","moral","pathogen",5,4,6,6,0,4,5,3,4,6,1,6,6,4,5,4,3,5,6,4,4,5,6,8,8,6,6,8,8,8,7,0,2,1,2,1,2,3,1,5.42857142857143,4.85714285714286,2.71428571428571,4.33333333333333,8.78144070811905
477,"12/16/2022 16:59","pl",NA,1,"1",5,"1",28,"0","0",0,NA,NA,"b","wealthy","sexy","artistic","healthy","sexy","sexy","sex","moral","moral","pathogen","sex","sex",3,4,5,5,1,3,2,2,3,5,4,5,6,1,5,3,5,5,5,3,3,10,11,10,8,7,10,11,11,11,7,1,1,0,3,1,2,1,3,4.14285714285714,4.14285714285714,2.85714285714286,3.71428571428571,7.64800112669657
478,"2/6/2023 20:55","en","game",1,"1",0,"0",34,"1","0",0,NA,NA,"b","artistic","kind","artistic","healthy","wealthy","artistic","moral","sex","pathogen","moral","pathogen","pathogen",2,5,5,4,0,1,3,1,2,3,1,4,4,0,4,3,2,4,4,1,4,6,6,5,6,7,5,6,7,7,6,3,1,1,0,1,2,3,1,3.28571428571429,3.42857142857143,1.42857142857143,2.71428571428571,8.23050801435224
486,"2/12/2023 23:31","pl",NA,1,"1",5,"1",20,"0","0",0,NA,NA,"b","sexy","artistic","healthy","sexy","wealthy","kind","moral","pathogen","moral","pathogen","moral","moral",3,2,5,4,0,1,0,0,1,4,0,6,3,0,3,4,1,5,3,0,6,2,6,6,7,6,4,8,8,8,8,1,1,1,2,1,4,2,0,3,3.85714285714286,0.428571428571429,2.42857142857143,7.56183517702254
487,"3/10/2023 23:03","en",NA,1,"1",0,"0",35,"1","1",2,5,8,"a","wealthy","artistic","kind","healthy","kind","artistic","sex","pathogen","sex","pathogen","sex","sex",1,1,0,1,1,0,6,5,6,4,4,2,3,4,3,4,4,5,4,5,3,4,3,2,5,6,4,2,11,11,11,2,1,2,0,1,0,2,4,3.28571428571429,2.71428571428571,3.42857142857143,3.14285714285714,6.13860326361075
491,"3/7/2023 18:48","en","game",1,"1",0,"0",26,"1","0",0,NA,NA,"b","kind","artistic","wealthy","wealthy","wealthy","kind","pathogen","sex","pathogen","moral","sex","sex",5,3,5,6,5,6,4,5,4,3,4,3,4,5,4,5,6,4,5,6,5,3,2,4,2,6,3,6,8,10,8,1,0,2,0,3,1,2,3,4.57142857142857,4.42857142857143,4.85714285714286,4.61904761904762,5.66010512285814
493,"2/6/2023 22:04","en","game",1,"1",0,"0",25,"1","1",1,6,NA,"a","kind","artistic","wealthy","artistic","kind","healthy","sex","sex","pathogen","pathogen","sex","sex",5,4,5,4,5,6,4,4,5,4,3,3,2,3,4,3,2,3,4,5,4,9,8,6,7,9,7,9,9,8,9,2,1,2,0,1,0,2,4,3.71428571428571,4.28571428571429,3.71428571428571,3.9047619047619,8.33203779922689
495,"3/21/2023 15:11","en","game",1,"1",0,"0",27,"1","1",1,2,NA,"a","wealthy","kind","healthy","kind","healthy","artistic","moral","pathogen","moral","moral","sex","moral",4,3,2,4,5,4,3,2,4,5,4,4,3,5,6,3,2,1,4,3,5,9,4,7,3,8,2,8,4,6,3,1,2,2,0,1,4,1,1,3.71428571428571,3.71428571428571,3.42857142857143,3.61904761904762,7.095883829477
496,"2/6/2023 21:57","en","game",1,"1",3,"0",32,"1","1",1,2,NA,"a","kind","wealthy","wealthy","kind","kind","kind","sex","sex","pathogen","sex","pathogen","sex",3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,0,0,4,0,2,0,2,4,2.57142857142857,2.42857142857143,2.57142857142857,2.52380952380952,8.42820353787542
497,"12/19/2022 10:36","pl",NA,1,"1",0,"0",29,"1","0",0,NA,NA,"b","healthy","sexy","sexy","artistic","kind","sexy","sex","pathogen","sex","pathogen","sex","sex",5,0,1,5,0,1,3,0,1,5,0,1,5,3,3,4,2,1,5,1,5,9,8,6,10,8,6,8,10,9,6,1,1,1,3,0,0,2,4,4.57142857142857,1.85714285714286,0.857142857142857,2.42857142857143,8.11114974819976
498,"3/29/2023 16:12","en","game",1,"1",0,"0",35,"1","1",1,10,NA,"b","sexy","kind","kind","sexy","kind","healthy","sex","sex","moral","sex","moral","sex",1,2,3,2,2,3,2,3,2,3,3,2,1,2,1,2,3,4,3,3,4,7,7,7,9,8,9,8,9,7,9,0,1,3,2,0,2,0,4,2,2.71428571428571,2.57142857142857,2.42857142857143,9.04252453932774
499,"3/3/2023 14:24","pl","INSTAGRAM STUDY",1,"1",5,"1",26,"1","0",0,NA,NA,"b","artistic","artistic","artistic","kind","artistic","artistic","sex","pathogen","moral","moral","sex","sex",3,2,5,6,0,1,2,0,2,6,3,4,5,1,3,4,2,4,5,0,2,8,7,9,5,10,7,6,8,8,7,5,0,1,0,0,2,1,3,4.42857142857143,3,1.14285714285714,2.85714285714286,8.20591212877906
501,"1/4/2023 0:26","pl","KG0902",1,"1",0,"0",21,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","sexy","wealthy","artistic","moral","pathogen","moral","pathogen","sex","sex",4,1,3,6,0,5,1,0,0,1,1,6,4,3,4,6,3,0,5,1,0,7,9,10,6,9,6,9,9,9,6,2,0,0,1,3,2,2,2,3.85714285714286,2.57142857142857,1.28571428571429,2.57142857142857,8.59269609617898
504,"1/30/2023 17:40","pl","MISIAK",1,"1",6,"1",30,"1","0",0,NA,NA,"b","artistic","artistic","kind","kind","healthy","artistic","moral","sex","pathogen","pathogen","moral","sex",4,6,3,5,0,0,5,0,0,6,2,5,6,0,0,6,4,5,5,0,4,8,7,9,5,8,6,7,8,6,6,3,1,2,0,0,2,2,2,5.28571428571429,2.42857142857143,1.71428571428571,3.14285714285714,8.57245847848892
505,"2/6/2023 23:35","en","game",1,"1",0,"0",39,"1","1",2,7,11,"b","artistic","wealthy","artistic","kind","sexy","wealthy","moral","pathogen","sex","pathogen","moral","sex",4,3,5,6,0,3,5,0,2,5,0,5,6,1,3,5,2,5,6,0,4,6,7,5,4,6,6,7,6,6,6,2,0,1,1,2,2,2,2,5.28571428571429,3.85714285714286,0.857142857142857,3.33333333333333,7.74467732390077
508,"2/6/2023 21:35","en","game",1,"1",0,"0",36,"0","0",0,NA,NA,"b","kind","artistic","artistic","artistic","wealthy","artistic","pathogen","sex","pathogen","pathogen","moral","sex",4,3,2,5,2,1,5,2,1,5,1,1,5,3,1,4,2,2,5,3,4,9,5,7,4,7,8,8,9,8,7,4,0,1,0,1,1,3,2,4.71428571428571,1.71428571428571,2.28571428571429,2.9047619047619,7.64089745125846
512,"12/28/2022 9:27","pl",NA,1,"1",6,"1",22,"0","0",0,NA,NA,"b","healthy","sexy","kind","sexy","sexy","sexy","moral","moral","moral","moral","moral","sex",2,5,6,3,4,5,3,4,2,2,5,6,2,3,6,2,2,1,3,1,1,8,8,8,4,5,7,6,8,10,6,0,1,1,4,0,5,0,1,2.42857142857143,3.85714285714286,3.42857142857143,3.23809523809524,7.93250678789691
515,"2/24/2023 2:05","en",NA,1,"1",0,"0",30,"1","1",1,NA,NA,"b","artistic","healthy","artistic","artistic","wealthy","artistic","sex","moral","moral","moral","moral","moral",4,3,5,5,3,4,4,2,4,6,5,5,5,3,5,4,5,2,5,1,3,5,5,10,8,11,4,6,9,8,7,4,1,0,0,1,5,0,1,4.71428571428571,4,3.14285714285714,3.95238095238095,7.77133258179314
516,"12/16/2022 17:57","pl",NA,1,"1",0,"0",25,"1","0",0,NA,NA,"b","artistic","artistic","artistic","healthy","artistic","artistic","sex","sex","moral","sex","moral","moral",4,0,3,5,0,1,2,0,2,5,0,5,5,0,2,1,1,4,5,0,3,6,7,10,8,8,6,8,10,8,8,5,1,0,0,0,3,0,3,3.85714285714286,2.85714285714286,0.142857142857143,2.28571428571429,9.05931580866404
517,"1/7/2023 14:27","pl","KG0902",1,"1",0,"0",21,"0","0",0,NA,NA,"b","artistic","sexy","healthy","sexy","sexy","wealthy","pathogen","sex","moral","moral","moral","sex",5,3,3,6,2,6,2,2,3,6,6,5,6,4,5,5,3,6,6,2,6,7,10,8,10,10,9,9,8,10,6,1,1,0,3,1,3,1,2,5.14285714285714,4.85714285714286,3.14285714285714,4.38095238095238,8.10021329179457
520,"1/2/2023 21:36","pl","KG0902",1,"1",0,"0",22,"1","0",0,NA,NA,"a","artistic","sexy","healthy","sexy","wealthy","sexy","sex","pathogen","moral","pathogen","moral","sex",5,2,3,6,0,1,0,0,0,6,3,4,4,0,5,6,1,4,2,1,1,3,10,8,8,9,6,7,8,9,7,1,1,0,3,1,2,2,2,4.14285714285714,2.57142857142857,1,2.57142857142857,8.02091959289433
522,"3/29/2023 17:39","en","game",1,"1",0,"0",35,"0","0",0,NA,NA,"b","artistic","kind","artistic","kind","sexy","kind","moral","moral","moral","moral","sex","moral",0,1,2,2,0,2,0,0,2,2,1,2,2,1,3,2,1,1,2,1,3,7,6,6,6,6,6,6,7,7,6,2,0,3,1,0,5,0,1,1.42857142857143,2.14285714285714,0.714285714285714,1.42857142857143,8.41885288791318
523,"1/29/2023 23:10","pl","KG0902",1,"1",0,"0",22,"0","0",0,NA,NA,"a","sexy","healthy","sexy","artistic","kind","sexy","sex","moral","moral","moral","moral","pathogen",1,2,4,4,2,3,0,0,2,6,3,4,3,2,4,3,3,5,3,1,3,5,6,6,10,6,6,7,6,10,6,1,1,1,3,0,4,1,1,2.85714285714286,3.57142857142857,1.85714285714286,2.76190476190476,8.10021329179457
524,"2/6/2023 20:41","en",NA,1,"1",1,"0",33,"1","1",2,5,10,"a","artistic","kind","sexy","sexy","wealthy","sexy","moral","sex","sex","sex","sex","moral",5,4,3,4,4,3,4,5,4,4,3,3,4,3,4,5,4,3,4,3,4,6,8,9,7,7,10,9,8,9,8,1,0,1,3,1,2,0,4,4.28571428571429,3.42857142857143,3.71428571428571,3.80952380952381,9.45007579767073
528,"2/6/2023 20:31","en","game",1,"1",0,"0",35,"1","1",2,2,3,"b","healthy","sexy","artistic","sexy","wealthy","sexy","moral","sex","pathogen","sex","moral","moral",3,4,3,4,1,4,3,4,3,4,5,3,4,3,4,3,4,3,4,5,4,8,8,7,9,9,10,9,10,10,10,1,1,0,3,1,3,1,2,3.57142857142857,3.42857142857143,3.71428571428571,3.57142857142857,8.70904684259951
533,"2/23/2023 23:48","en","game",1,"1",0,"0",27,"0","0",0,NA,NA,"b","wealthy","artistic","kind","kind","healthy","artistic","pathogen","sex","sex","pathogen","pathogen","moral",5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,8,6,5,3,4,3,3,4,2,1,2,0,1,1,3,2,4.85714285714286,4.85714285714286,4.85714285714286,4.85714285714286,8.13428226033937
536,"1/23/2023 18:20","en","INSTAGRAM STUDY",1,"1",4,"1",18,"0","0",0,NA,NA,"b","artistic","wealthy","kind","artistic","artistic","artistic","moral","sex","pathogen","pathogen","moral","pathogen",2,2,4,5,0,1,2,0,4,4,3,4,3,1,0,5,6,5,6,0,5,6,4,6,4,7,6,5,6,5,6,4,0,1,0,1,2,3,1,3.85714285714286,3.28571428571429,1.71428571428571,2.95238095238095,7.5065771188657
537,"1/23/2023 20:40","pl",NA,1,"1",6,"1",22,"0","0",0,NA,NA,"a","artistic","wealthy","artistic","kind","sexy","sexy","pathogen","moral","pathogen","moral","sex","moral",1,0,2,4,0,3,2,0,1,5,0,2,4,0,0,3,2,1,3,0,3,6,5,6,4,4,7,6,6,8,7,2,0,1,2,1,3,2,1,3.14285714285714,1.71428571428571,0.285714285714286,1.71428571428571,7.28417169150628
538,"12/16/2022 17:03","pl",NA,1,"1",0,"0",26,"1","1",1,1,NA,"b","artistic","healthy","kind","healthy","sexy","sexy","moral","sex","moral","moral","moral","pathogen",2,5,6,6,3,5,3,4,4,6,6,6,2,4,3,2,6,6,3,2,5,4,6,6,7,7,6,8,6,7,7,1,2,1,2,0,4,1,1,3.42857142857143,5,4.28571428571429,4.23809523809524,8.32845876675358
546,"2/6/2023 23:13","en",NA,1,"1",1,"0",30,"2","0",0,NA,NA,"b","artistic","healthy","kind","sexy","kind","sexy","moral","moral","pathogen","moral","sex","pathogen",3,2,4,3,0,4,3,2,5,5,6,6,5,3,4,5,0,6,3,1,6,4,6,7,6,7,6,6,8,6,7,1,1,2,2,0,3,2,1,3.85714285714286,5,2,3.61904761904762,8.40880588864192
549,"1/9/2023 21:14","pl",NA,1,"1",3,"1",23,"0","0",0,NA,NA,"b","wealthy","wealthy","sexy","kind","artistic","kind","sex","sex","pathogen","pathogen","sex","sex",4,1,2,5,0,2,2,0,1,0,1,1,2,3,2,1,2,4,3,0,1,8,9,8,6,6,8,9,7,9,6,1,0,2,1,2,0,2,4,2.42857142857143,1.85714285714286,1,1.76190476190476,8.66624190641186
551,"2/6/2023 22:13","en","game",1,"1",0,"0",25,"1","0",0,NA,NA,"b","artistic","artistic","wealthy","artistic","wealthy","artistic","sex","pathogen","sex","sex","sex","sex",5,4,5,5,4,4,5,4,4,4,4,3,4,3,3,4,3,2,3,3,4,6,8,9,7,6,8,9,10,7,8,4,0,0,0,2,0,1,5,4.28571428571429,3.57142857142857,3.57142857142857,3.80952380952381,9.15621188601905
553,"12/21/2022 15:24","pl",NA,1,"1",0,"0",32,"0","0",0,NA,NA,"b","artistic","wealthy","kind","kind","artistic","artistic","moral","moral","sex","sex","pathogen","moral",1,2,4,4,0,2,0,0,1,3,1,5,3,0,2,1,2,1,3,5,5,7,9,8,7,7,7,8,8,8,7,3,0,2,0,1,3,1,2,2.14285714285714,2.85714285714286,1.42857142857143,2.14285714285714,9.27068614436538
554,"2/7/2023 0:59","en","game",1,"1",0,"0",33,"1","1",4,9,16,"b","wealthy","wealthy","sexy","sexy","wealthy","wealthy","pathogen","sex","sex","moral","moral","pathogen",2,4,6,6,0,4,3,0,6,4,4,6,6,0,6,0,3,6,3,1,5,1,6,8,6,6,7,7,11,9,7,0,0,0,2,4,2,2,2,3.42857142857143,5.57142857142857,1.71428571428571,3.57142857142857,7.28285173095819
555,"2/1/2023 23:59","pl",NA,1,"1",0,"0",21,"0","0",0,NA,NA,"a","artistic","artistic","sexy","artistic","sexy","artistic","moral","sex","pathogen","pathogen","moral","moral",1,2,3,4,0,1,0,0,2,5,0,3,2,0,1,1,2,2,1,0,1,6,8,7,8,6,6,6,6,8,6,4,0,0,2,0,3,2,1,2,1.85714285714286,0.571428571428571,1.47619047619048,9.08116960344675
556,"2/24/2023 0:22","en","game",1,"1",1,"0",32,"1","0",0,NA,NA,"b","artistic","healthy","wealthy","kind","wealthy","kind","moral","pathogen","sex","pathogen","moral","sex",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,7,8,7,6,6,8,9,9,1,1,2,0,2,2,2,2,4,4,4,4,8.93459587431968
558,"2/13/2023 16:53","pl","AB12",1,"1",1,"0",23,"0","0",0,NA,NA,"b","artistic","artistic","wealthy","kind","healthy","healthy","pathogen","moral","moral","moral","sex","moral",0,0,5,5,0,6,0,0,6,5,0,4,6,0,3,6,6,0,5,0,0,9,10,9,6,5,9,10,10,8,6,2,2,1,0,1,4,1,1,3.85714285714286,3.42857142857143,0.857142857142857,2.71428571428571,7.93173613069116
559,"2/6/2023 22:02","en","Game",1,"1",4,"1",36,"0","0",0,NA,NA,"b","artistic","wealthy","sexy","sexy","sexy","artistic","sex","sex","sex","moral","moral","moral",4,0,5,5,0,0,5,0,0,5,0,4,5,0,0,5,4,5,5,0,0,7,6,9,6,5,7,7,7,7,6,2,0,0,3,1,3,0,3,4.85714285714286,2,0.571428571428571,2.47619047619048,8.41910488098942
560,"2/7/2023 13:37","pl",NA,1,"1",0,"0",29,"1","0",0,NA,NA,"b","artistic","sexy","artistic","kind","sexy","sexy","moral","pathogen","sex","moral","moral","sex",4,3,2,5,0,1,4,1,1,5,0,5,6,1,4,5,0,4,6,0,1,3,6,7,4,9,5,6,8,6,6,2,0,1,3,0,3,1,2,5,2.57142857142857,0.714285714285714,2.76190476190476,7.53033820588497
561,"2/17/2023 21:31","pl",NA,1,"1",0,"0",19,"0","0",0,NA,NA,"b","artistic","artistic","healthy","kind","artistic","artistic","moral","sex","moral","moral","moral","pathogen",3,2,4,4,0,3,1,0,4,3,0,5,5,0,5,1,5,5,5,1,4,8,4,10,1,4,8,9,7,9,6,4,1,1,0,0,4,1,1,3.14285714285714,4.28571428571429,1.14285714285714,2.85714285714286,6.1466594542689
562,"12/17/2022 0:25","pl",NA,1,"1",2,"0",26,"0","0",0,NA,NA,"b","artistic","artistic","kind","sexy","sexy","sexy","moral","sex","sex","pathogen","moral","moral",5,0,5,6,0,0,4,0,0,5,0,1,6,0,4,0,3,1,6,0,1,9,6,9,8,9,7,6,8,6,6,2,0,1,3,0,3,1,2,4.57142857142857,1.71428571428571,0.428571428571429,2.23809523809524,8.41759352446804
563,"12/28/2022 15:12","pl","AB12",1,"1",0,"0",22,"0","0",0,NA,NA,"a","artistic","wealthy","sexy","sexy","kind","artistic","moral","moral","moral","moral","moral","moral",1,3,2,4,0,2,0,3,2,5,2,1,3,2,5,2,1,2,3,5,4,3,8,4,6,8,5,5,7,6,6,2,0,1,2,1,6,0,0,2.57142857142857,2.57142857142857,2.28571428571429,2.47619047619048,7.47750631373797
566,"2/12/2023 23:42","pl",NA,1,"1",5,"1",19,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","sexy","wealthy","artistic","sex","pathogen","pathogen","pathogen","moral","sex",5,1,5,5,0,2,3,0,2,6,0,0,1,0,5,6,6,6,3,3,6,9,4,2,1,3,9,7,4,6,6,3,0,0,1,2,1,3,2,4.14285714285714,3.71428571428571,1.42857142857143,3.0952380952381,5.07575047734427
573,"2/18/2023 13:03","pl","AC3",1,"1",0,"0",20,"1","0",0,NA,NA,"a","wealthy","artistic","artistic","kind","wealthy","sexy","pathogen","moral","pathogen","moral","moral","moral",3,4,2,5,0,2,0,0,2,4,1,2,3,2,1,5,3,5,4,3,4,9,7,8,7,6,9,7,8,9,7,2,0,1,1,2,4,2,0,3.42857142857143,2.57142857142857,1.85714285714286,2.61904761904762,8.60692295968253
575,"2/6/2023 21:21","en","game",1,"1",3,"0",32,"1","1",1,11,NA,"b","artistic","sexy","kind","artistic","wealthy","sexy","sex","pathogen","pathogen","sex","pathogen","sex",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,2,0,1,2,1,0,3,3,3,3,3,3,8.42820353787542
579,"3/29/2023 16:44","en","game",1,"1",0,"0",25,"1","1",2,1,2,"b","sexy","kind","kind","wealthy","wealthy","sexy","pathogen","pathogen","pathogen","moral","pathogen","moral",4,2,5,4,3,3,4,1,4,3,3,3,0,4,5,5,4,4,4,0,1,8,10,8,6,7,9,8,10,8,6,0,0,2,2,2,2,4,0,3.42857142857143,3.57142857142857,2.42857142857143,3.14285714285714,8.5511282398668
580,"2/24/2023 2:28","en",NA,1,"1",0,"0",42,"0","1",1,20,NA,"b","artistic","artistic","kind","healthy","wealthy","artistic","moral","moral","moral","moral","moral","moral",6,0,6,6,0,5,3,0,1,6,0,6,6,0,6,5,5,6,3,0,3,8,9,9,7,10,2,7,6,8,6,3,1,1,0,1,6,0,0,5,4.71428571428571,0.714285714285714,3.47619047619048,8.49581384434729
582,"12/16/2022 18:19","pl","KG0902",1,"1",1,"0",20,"1","1",18,1,21,"a","kind","sexy","healthy","kind","kind","artistic","sex","sex","sex","pathogen","pathogen","sex",2,5,5,0,0,3,0,3,0,5,3,3,3,2,4,6,2,4,3,0,2,11,1,6,11,1,6,6,9,6,11,1,1,3,1,0,0,2,4,2.71428571428571,3,2.14285714285714,2.61904761904762,5.00234853016291
584,"12/29/2022 1:39","pl","AB12",1,"1",0,"0",37,"1","1",3,4,16,"b","kind","sexy","sexy","healthy","sexy","sexy","sex","moral","sex","moral","moral","sex",0,0,6,0,6,6,0,0,6,6,3,6,2,0,6,0,6,0,6,6,6,1,6,11,11,6,11,10,11,6,3,0,1,1,4,0,3,0,3,2,5.14285714285714,3,3.38095238095238,6.69353731114812
588,"3/29/2023 16:55","en","game",1,"1",0,"0",25,"0","0",0,NA,NA,"b","wealthy","wealthy","artistic","kind","kind","artistic","moral","moral","moral","moral","moral","pathogen",4,5,4,4,3,2,3,3,4,4,5,1,4,4,4,3,3,4,3,3,4,5,6,7,5,8,4,7,8,7,4,2,0,2,0,2,5,1,0,3.57142857142857,3.28571428571429,3.71428571428571,3.52380952380952,8.40006651818403
589,"1/29/2023 17:51","pl","KG0902",1,"1",0,"0",23,"0","0",0,NA,NA,"b","kind","sexy","artistic","kind","wealthy","kind","pathogen","moral","moral","moral","pathogen","moral",5,6,2,6,1,0,1,0,1,5,0,2,1,4,3,0,0,2,4,6,2,8,10,8,10,7,6,9,8,8,6,1,0,3,1,1,4,2,0,3.14285714285714,1.71428571428571,2.42857142857143,2.42857142857143,8.30667284101645
590,"1/30/2023 22:47","pl","MISIAK",1,"1",6,"1",29,"0","0",0,NA,NA,"b","artistic","sexy","artistic","artistic","kind","artistic","pathogen","moral","moral","moral","sex","sex",4,2,6,5,0,4,1,1,2,4,3,4,4,1,1,4,5,6,4,0,4,5,8,7,8,9,6,9,7,8,8,4,0,1,1,0,3,1,2,3.71428571428571,3.85714285714286,1.71428571428571,3.0952380952381,8.91092609665234
592,"2/6/2023 22:44","en",NA,1,"1",1,"0",19,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","wealthy","artistic","artistic","moral","sex","pathogen","moral","moral","sex",1,2,4,5,2,2,4,3,4,5,2,6,6,3,4,5,1,3,2,2,4,6,6,7,6,5,6,7,7,7,5,4,0,0,0,2,3,1,2,4,3.85714285714286,2.14285714285714,3.33333333333333,8.38445478261268
597,"3/29/2023 16:21","en","game",1,"1",0,"0",25,"0","0",0,NA,NA,"a","kind","wealthy","artistic","kind","healthy","artistic","pathogen","pathogen","sex","pathogen","sex","pathogen",4,3,4,4,4,3,3,5,4,3,4,4,3,3,2,3,4,5,4,4,3,4,6,7,7,8,6,6,8,7,6,2,1,2,0,1,0,4,2,3.42857142857143,3.57142857142857,3.85714285714286,3.61904761904762,8.54591306327904
599,"12/18/2022 12:00","pl",NA,1,"1",0,"0",30,"1","0",0,NA,NA,"b","wealthy","wealthy","healthy","kind","kind","artistic","sex","sex","moral","sex","moral","sex",2,1,5,5,0,4,1,1,2,5,0,2,1,0,2,3,0,3,1,1,3,4,8,8,6,10,6,7,8,8,8,1,1,2,0,2,2,0,4,2.57142857142857,3,0.428571428571429,2,8.29916053805204
601,"2/23/2023 23:53","en","game",1,"1",0,"0",35,"1","1",1,2,NA,"b","kind","wealthy","kind","artistic","kind","wealthy","pathogen","sex","sex","moral","pathogen","moral",3,4,3,5,5,5,4,5,4,4,5,3,4,3,4,4,4,5,3,3,4,6,9,9,8,8,7,7,9,8,9,1,0,3,0,2,2,2,2,3.85714285714286,4,4.14285714285714,4,9.21592906831266
604,"1/30/2023 22:20","pl",NA,1,"1",0,"0",35,"1","1",1,5,NA,"b","sexy","sexy","kind","sexy","sexy","sexy","moral","pathogen","moral","pathogen","moral","sex",4,1,3,6,6,6,4,6,4,6,4,6,6,2,4,6,6,0,6,0,4,1,7,6,8,6,6,6,6,6,8,0,0,1,5,0,3,2,1,5.42857142857143,3.85714285714286,3.57142857142857,4.28571428571429,7.27289934492891
606,"3/29/2023 16:16","en","gane",1,"1",6,"1",31,"1","0",0,NA,NA,"b","artistic","artistic","kind","kind","artistic","kind","moral","sex","moral","moral","moral","sex",4,2,4,5,2,3,5,1,2,4,2,1,4,1,5,3,2,3,2,0,3,8,6,6,7,5,6,6,6,6,6,3,0,3,0,0,4,0,2,3.85714285714286,3,1.42857142857143,2.76190476190476,8.17486935062949
609,"2/12/2023 17:39","pl",NA,1,"1",4,"1",18,"0","0",0,NA,NA,"b","healthy","wealthy","wealthy","sexy","sexy","sexy","moral","sex","sex","moral","sex","sex",6,1,6,6,0,0,0,0,1,6,0,0,1,1,1,6,3,2,6,0,5,8,10,10,9,10,9,10,10,11,10,0,1,0,3,2,2,0,4,4.42857142857143,2.14285714285714,0.714285714285714,2.42857142857143,8.02353834035352
612,"1/30/2023 22:22","pl","MISIAK",1,"1",6,"1",30,"1","0",0,NA,NA,"b","artistic","kind","healthy","kind","artistic","artistic","pathogen","moral","pathogen","moral","pathogen","moral",0,3,4,5,0,1,0,0,3,6,3,2,1,0,5,6,6,3,4,0,2,7,9,7,8,9,7,9,10,8,7,3,1,2,0,0,3,3,0,3.14285714285714,2.85714285714286,1.71428571428571,2.57142857142857,8.91605969331017
614,"3/29/2023 15:58","en",NA,1,"1",2,"0",40,"1","1",2,1,3,"b","artistic","kind","artistic","kind","artistic","wealthy","pathogen","moral","sex","pathogen","pathogen","pathogen",2,1,2,1,2,1,2,1,2,1,2,1,3,2,3,2,3,2,3,2,3,3,4,5,5,6,5,7,1,5,2,3,0,2,0,1,1,4,1,2,2,1.85714285714286,1.95238095238095,7.03344904031045
615,"2/6/2023 23:16","en","game",1,"1",0,"0",29,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","sexy","kind","moral","moral","pathogen","moral","pathogen","moral",2,6,5,5,0,2,1,1,1,5,4,3,3,2,3,4,6,5,4,5,5,7,6,7,6,9,6,6,7,6,7,2,0,2,1,1,4,2,0,3.42857142857143,3.42857142857143,3.42857142857143,3.42857142857143,8.65790409836555
