"PIN","timestamp","country","code","plays","sex","kinsey","partnerSex","age","relstat","children","numChild","childYoungest","childOldest","milkCereal","pos1","pos2","pos3","pos4","pos5","pos6","disgust1","disgust2","disgust3","disgust4","disgust5","disgust6","tdds1","tdds2","tdds3","tdds4","tdds5","tdds6","tdds7","tdds8","tdds9","tdds10","tdds11","tdds12","tdds13","tdds14","tdds15","tdds16","tdds17","tdds18","tdds19","tdds20","tdds21","selfArt","selfHealth","selfKind","selfSexy","selfResources","idealArt","idealHealth","idealKind","idealSexy","idealResources","choiceArt","choiceKind","choiceSexy","choiceWealthy","choiceMoral","choicePath","choiceSex","tddMoral","tddPath","tddSex","tddTotal"
319,"1/7/2023 16:35","pl","KG0902",1,"1",2,"0",22,"0","0",0,NA,NA,"b","artistic","sexy","artistic","artistic","sexy","kind","pathogen","moral","sex","sex","moral","sex",3,0,1,6,0,1,1,0,1,6,0,4,0,0,2,5,4,1,3,0,0,5,7,10,9,6,6,7,7,7,7,3,1,2,0,2,1,3,3.42857142857143,1.42857142857143,0.571428571428571,1.80952380952381
322,"3/21/2023 13:52","en","game",1,"1",0,"0",30,"1","1",1,4,NA,"b","wealthy","artistic","artistic","sexy","wealthy","artistic","sex","sex","pathogen","moral","sex","moral",5,4,5,4,5,4,5,4,5,4,5,5,4,5,3,4,5,4,5,4,5,6,7,6,5,6,6,6,6,6,6,3,0,1,2,2,1,3,4.42857142857143,4.42857142857143,4.57142857142857,4.47619047619048
323,"1/12/2023 22:49","pl",NA,1,"0",5,"0",21,"1","0",0,NA,NA,"a","sexy","wealthy","kind","kind","sexy","artistic","moral","sex","moral","sex","sex","moral",1,2,2,4,0,1,0,0,1,3,3,1,1,0,3,3,6,4,1,0,0,7,3,7,8,9,7,7,8,9,7,1,2,2,1,3,0,3,1.85714285714286,1.71428571428571,1.57142857142857,1.71428571428571
325,"1/8/2023 21:04","pl","KG0902",1,"0",1,"1",23,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","artistic","wealthy","sexy","moral","pathogen","moral","sex","pathogen","pathogen",3,1,4,5,0,1,3,0,1,6,1,2,3,1,2,3,1,3,3,1,4,5,6,7,6,7,5,8,7,6,7,3,0,1,2,2,3,1,3.71428571428571,2.42857142857143,0.714285714285714,2.28571428571429
326,"12/28/2022 8:58","pl","AB12",1,"0",1,"1",26,"1","0",0,NA,NA,"b","kind","sexy","artistic","artistic","wealthy","artistic","moral","pathogen","sex","pathogen","sex","sex",6,3,6,6,0,3,3,0,3,6,5,6,6,0,4,2,6,6,6,0,6,3,7,6,6,6,2,6,10,6,6,3,1,1,1,1,2,3,5,4.85714285714286,2,3.95238095238095
328,"12/27/2022 23:36","pl","AB12",1,"0",1,"1",23,"1","0",0,NA,NA,"a","artistic","wealthy","sexy","sexy","sexy","artistic","moral","sex","moral","pathogen","sex","sex",3,4,5,5,4,3,4,0,2,6,6,5,4,3,4,5,6,2,5,2,0,6,9,9,6,7,6,9,8,10,9,2,0,3,1,2,1,3,4.57142857142857,3,3.57142857142857,3.71428571428571
329,"2/6/2023 20:26","en",NA,1,"0",1,"1",42,"1","1",1,8,NA,"a","artistic","kind","artistic","kind","wealthy","artistic","moral","sex","sex","sex","moral","sex",0,1,1,1,1,1,1,1,0,0,2,1,1,0,0,1,0,1,2,1,2,5,8,8,8,7,11,8,8,8,8,3,2,0,1,2,0,4,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857
330,"3/29/2023 16:41","en",NA,1,"1",0,"0",39,"1","1",2,5,9,"b","wealthy","sexy","wealthy","kind","kind","artistic","moral","sex","pathogen","pathogen","sex","sex",3,6,6,6,4,0,3,0,3,0,0,3,5,0,5,3,6,1,3,3,5,6,7,8,6,6,5,6,7,7,8,1,2,1,2,1,2,3,3.28571428571429,3.28571428571429,2.71428571428571,3.0952380952381
332,"2/6/2023 21:24","en",NA,1,"1",0,"0",30,"1","1",1,2,NA,"a","artistic","wealthy","artistic","sexy","kind","artistic","pathogen","moral","moral","moral","moral","pathogen",3,0,1,0,0,0,2,0,1,1,1,1,1,0,1,1,0,1,2,0,1,6,8,8,9,6,7,8,8,9,6,3,1,1,1,4,2,0,1.42857142857143,0.857142857142857,0.142857142857143,0.80952380952381
333,"2/5/2023 19:56","pl","ab12",1,"0",4,"0",26,"1","0",0,NA,NA,"b","artistic","wealthy","wealthy","kind","sexy","artistic","sex","sex","pathogen","moral","sex","moral",0,0,4,6,0,0,1,2,1,6,0,4,0,0,1,2,1,4,4,0,4,8,6,9,10,3,6,8,11,9,8,2,1,1,2,2,1,3,2.71428571428571,2.57142857142857,0.428571428571429,1.9047619047619
336,"2/24/2023 0:04","en",NA,1,"1",1,"0",32,"1","1",2,3,5,"b","wealthy","wealthy","wealthy","kind","wealthy","wealthy","moral","pathogen","sex","pathogen","moral","sex",4,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,10,9,5,8,4,8,7,8,8,0,1,0,5,2,2,2,5.71428571428571,6,5.57142857142857,5.76190476190476
337,"1/8/2023 11:01","pl","KG0902",1,"1",0,"0",21,"1","0",0,NA,NA,"b","sexy","sexy","sexy","artistic","wealthy","sexy","pathogen","sex","pathogen","sex","pathogen","moral",0,3,6,3,0,3,0,1,5,6,6,6,0,0,1,0,5,5,3,0,3,6,6,6,6,6,11,6,11,11,7,1,0,4,1,1,3,2,1.71428571428571,4.14285714285714,2.14285714285714,2.66666666666667
338,"2/24/2023 0:46","en","game",1,"1",0,"0",32,"1","0",0,NA,NA,"b","artistic","artistic","sexy","sexy","artistic","wealthy","sex","pathogen","sex","moral","pathogen","sex",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,9,8,9,9,9,9,8,9,8,9,3,0,2,1,1,2,3,4.57142857142857,4.42857142857143,4.57142857142857,4.52380952380952
341,"1/12/2023 22:52","pl",NA,1,"0",0,"1",23,"1","0",0,NA,NA,"a","sexy",NA,"sexy","artistic","sexy","artistic","moral","moral","pathogen","moral","moral","pathogen",3,6,4,3,6,6,1,3,2,5,6,5,4,6,5,5,6,6,5,6,5,3,6,6,6,6,6,6,7,6,7,NA,NA,NA,NA,4,2,0,3.71428571428571,4.71428571428571,5.57142857142857,4.66666666666667
342,"1/5/2023 14:45","pl","KG0902",1,"0",2,"1",21,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","wealthy","wealthy","artistic","moral","sex","moral","moral","sex","moral",1,2,4,2,3,4,1,0,3,4,3,3,2,0,3,4,5,5,4,3,4,9,8,7,9,6,7,8,8,10,9,3,0,0,3,4,0,2,2.57142857142857,3.71428571428571,2.28571428571429,2.85714285714286
343,"3/29/2023 16:16","en",NA,1,"1",1,"0",23,"1","1",2,1,3,"a","artistic",NA,"wealthy","kind","kind","kind","sex","moral","moral","moral","pathogen","moral",3,3,5,4,3,5,4,3,5,4,5,3,5,3,5,3,5,3,4,5,3,8,9,8,9,7,10,9,9,10,9,NA,NA,NA,NA,4,1,1,3.85714285714286,4.14285714285714,3.85714285714286,3.95238095238095
345,"12/29/2022 0:33","pl","AB12",1,"0",0,"1",22,"1","0",0,NA,NA,"b","sexy","wealthy","sexy","kind","artistic","artistic","moral","moral","pathogen","pathogen","moral","pathogen",1,4,5,6,6,3,0,6,3,5,5,3,4,6,3,4,2,2,6,6,1,6,5,7,5,7,6,5,8,8,7,2,1,2,1,3,3,0,3.71428571428571,2.85714285714286,5,3.85714285714286
346,"2/6/2023 20:27","en","game",1,"1",1,"0",28,"0","0",0,NA,NA,"b","artistic","artistic","kind","wealthy","wealthy","artistic","moral","sex","pathogen","moral","pathogen","moral",2,0,2,3,1,0,3,1,0,4,3,1,4,0,3,2,3,1,2,1,2,4,6,7,7,9,6,6,8,7,6,3,1,0,2,3,2,1,2.85714285714286,1.28571428571429,1.28571428571429,1.80952380952381
347,"3/29/2023 16:15","en","game",1,"1",0,"0",35,"1","1",1,5,NA,"b","artistic","artistic","wealthy","kind","kind","wealthy","moral","moral","moral","moral","sex","pathogen",3,3,4,4,4,3,4,3,4,3,3,3,4,4,3,4,4,3,4,4,4,7,7,8,7,8,6,8,7,8,7,2,2,0,2,4,1,1,3.71428571428571,3.42857142857143,3.57142857142857,3.57142857142857
348,"1/8/2023 20:39","pl","KG0902",1,"0",0,"1",20,"1","0",0,NA,NA,"b","kind","sexy","wealthy","artistic","sexy","artistic","pathogen","sex","moral","moral","sex","moral",0,1,5,3,0,0,0,0,6,5,4,6,5,1,2,2,6,6,1,0,1,6,8,5,8,8,6,8,9,10,11,2,1,2,1,3,1,2,2.28571428571429,3.71428571428571,1.71428571428571,2.57142857142857
349,"3/29/2023 16:11","en","game",1,"0",5,"0",25,"1","0",0,NA,NA,"a","artistic","artistic","sexy","artistic","artistic","sexy","sex","moral","pathogen","sex","pathogen","sex",4,3,2,3,4,3,3,4,5,4,4,4,3,4,4,3,5,4,3,4,5,5,3,3,3,5,2,4,4,5,3,4,0,2,0,1,2,3,3.28571428571429,3.85714285714286,4,3.71428571428571
350,"1/15/2023 1:00","pl","KG0902",1,"1",0,"0",21,"1","0",0,NA,NA,"b","artistic","wealthy","wealthy","artistic","sexy","artistic","pathogen","moral","pathogen","pathogen","sex","moral",0,1,5,2,0,2,0,0,2,1,3,4,0,1,3,0,3,6,0,2,0,4,7,6,6,8,7,9,9,7,6,3,0,1,2,2,3,1,0.428571428571429,3.14285714285714,1.42857142857143,1.66666666666667
353,"2/12/2023 4:45","pl",NA,1,"1",6,"1",22,"0","0",0,NA,NA,"b","artistic","sexy","artistic","artistic","artistic","artistic","sex","pathogen","sex","moral","pathogen","pathogen",2,0,1,6,0,1,6,3,3,6,4,2,2,0,6,0,6,2,3,0,0,6,11,10,11,10,7,11,9,8,9,5,0,1,0,1,3,2,3.57142857142857,2.14285714285714,1.85714285714286,2.52380952380952
354,"2/7/2023 0:33","en","game",1,"1",0,"0",25,"0","0",0,NA,NA,"b","wealthy","artistic","artistic","artistic","wealthy","artistic","sex","sex","sex","moral","pathogen","pathogen",2,5,4,6,0,4,0,0,5,4,0,5,4,1,1,1,5,4,3,1,4,3,7,4,7,6,5,7,8,8,7,4,0,0,2,1,2,3,2.85714285714286,3.85714285714286,1.71428571428571,2.80952380952381
355,"12/16/2022 16:58","pl",NA,1,"1",1,"0",28,"1","0",0,NA,NA,"b","artistic","wealthy","artistic","sexy","sexy","artistic","pathogen","moral","sex","moral","moral","pathogen",0,0,0,1,0,2,1,0,1,4,1,2,1,1,2,1,2,3,4,1,5,9,9,8,6,7,6,8,8,6,7,3,0,2,1,3,2,1,1.71428571428571,2.14285714285714,0.714285714285714,1.52380952380952
356,"1/8/2023 10:28","pl","KG0902",1,"0",2,"1",26,"1","0",0,NA,NA,"b","artistic","wealthy","sexy","sexy","sexy","sexy","moral","sex","sex","pathogen","sex","sex",0,2,2,0,0,3,0,0,2,5,0,5,0,0,2,1,6,6,1,0,1,4,4,7,6,6,4,6,9,7,6,1,0,4,1,1,1,4,1,3,1.14285714285714,1.71428571428571
357,"2/6/2023 22:40","en","game",1,"1",0,"0",36,"1","0",0,NA,NA,"b","artistic","sexy","artistic","kind","sexy","artistic","moral","sex","pathogen","moral","moral","moral",2,4,5,6,1,3,2,2,3,5,4,4,5,3,4,3,2,5,4,4,6,6,6,7,7,7,6,7,8,8,6,3,1,2,0,4,1,1,3.85714285714286,4.28571428571429,2.85714285714286,3.66666666666667
358,"1/29/2023 17:29","pl",NA,1,"0",3,"0",22,"0","0",0,NA,NA,"a","kind","sexy","artistic","wealthy","artistic","artistic","pathogen","pathogen","pathogen","moral","sex","moral",1,1,4,4,0,0,0,0,2,5,6,5,2,0,1,1,5,4,3,0,0,6,7,9,7,6,7,8,8,7,6,3,1,1,1,2,3,1,2.28571428571429,2.28571428571429,1.71428571428571,2.0952380952381
359,"2/24/2023 0:59","en","game",1,"1",1,"0",34,"1","1",1,3,NA,"a","sexy","artistic","kind","sexy","artistic","kind","moral","pathogen","moral","moral","moral","moral",3,1,1,1,2,3,4,2,4,4,3,3,3,3,3,3,2,4,3,2,2,9,9,8,9,8,8,9,9,9,9,2,2,2,0,5,1,0,3,2.85714285714286,2.14285714285714,2.66666666666667
360,"2/6/2023 20:36","en","game",1,"1",0,"0",52,"1","1",1,1,NA,"a","kind","artistic","kind","kind","artistic","sexy","moral","pathogen","sex","moral","moral","pathogen",6,4,5,6,5,5,5,4,5,6,5,2,5,5,3,5,5,4,5,5,4,11,11,11,11,11,8,9,7,9,8,2,3,1,0,3,2,1,5.42857142857143,4,4.71428571428571,4.71428571428571
361,"3/21/2023 13:43","en","game",1,"0",0,"1",29,"1","1",1,5,NA,"b","wealthy","kind","artistic","wealthy","kind","artistic","sex","sex","pathogen","sex","pathogen","moral",5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,6,7,6,7,6,2,2,0,2,1,2,3,4.42857142857143,4.57142857142857,4.57142857142857,4.52380952380952
364,"2/24/2023 3:00","en",NA,1,"1",0,"0",51,"1","1",1,25,NA,"b","sexy","sexy","artistic","artistic","wealthy","artistic","moral","sex","sex","sex","moral","moral",0,0,4,2,0,2,0,0,4,0,0,3,0,0,4,0,0,5,0,0,2,6,5,8,6,1,6,8,8,6,6,3,0,2,1,3,0,3,0.285714285714286,3.42857142857143,0,1.23809523809524
367,"1/23/2023 23:04","pl","INSTAGRAM STUDY",1,"0",0,"1",21,"1","0",0,NA,NA,"b","artistic","kind","artistic","artistic","artistic","artistic","pathogen","pathogen","moral","moral","moral","pathogen",2,4,5,3,0,1,1,2,3,4,6,3,5,6,3,5,6,2,3,0,1,11,6,8,6,6,6,6,9,6,6,5,1,0,0,3,3,0,3.28571428571429,2.57142857142857,3.42857142857143,3.0952380952381
369,"2/7/2023 18:08","pl","INSTAGRAM STUDY",1,"0",3,"0",19,"0","0",0,NA,NA,"b","artistic","artistic","artistic","kind","sexy","kind","pathogen","moral","pathogen","moral","pathogen","sex",1,4,1,4,4,1,1,2,1,3,3,1,3,3,2,3,2,3,3,4,3,9,8,8,7,6,7,7,8,8,9,3,2,1,0,2,3,1,2.57142857142857,1.71428571428571,3.14285714285714,2.47619047619048
370,"2/6/2023 22:35","en","game",1,"0",0,"1",43,"1","1",3,10,22,"b","artistic","wealthy","kind","artistic","artistic","kind","pathogen","moral","pathogen","sex","moral","sex",4,2,3,4,1,2,3,1,5,5,4,2,4,4,5,4,4,2,3,2,2,4,8,7,7,7,6,8,8,8,8,3,2,0,1,2,2,2,3.85714285714286,3,2.57142857142857,3.14285714285714
371,"3/29/2023 16:19","en","game",1,"1",2,"0",30,"1","1",2,3,5,"a","kind","wealthy","wealthy","sexy","artistic","sexy","moral","sex","pathogen","pathogen","pathogen","pathogen",3,2,3,3,4,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,3,5,8,6,9,6,7,6,7,6,8,1,1,2,2,1,4,1,3,2.85714285714286,3,2.95238095238095
372,"3/21/2023 13:35","en","game",1,"0",0,"1",29,"0","0",0,NA,NA,"b","wealthy","artistic","sexy","kind","kind","wealthy","sex","moral","pathogen","moral","sex","pathogen",5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,6,7,5,6,7,4,6,6,7,5,1,2,1,2,2,2,2,4.42857142857143,4.57142857142857,4.57142857142857,4.52380952380952
373,"2/24/2023 2:17","en","game",1,"0",0,"1",50,"1","1",1,6,NA,"b","artistic","artistic","kind","kind","artistic","artistic","moral","moral","moral","pathogen","sex","moral",4,3,4,4,4,3,0,0,3,3,3,3,3,4,3,3,3,4,3,3,3,3,10,9,9,9,5,6,9,9,9,4,2,0,0,4,1,1,2.85714285714286,3.28571428571429,2.85714285714286,3
374,"2/7/2023 0:39","en","game",1,"0",5,"0",34,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","artistic","artistic","artistic","pathogen","sex","pathogen","moral","pathogen","pathogen",3,4,5,5,0,2,4,3,1,5,3,3,6,1,4,5,6,4,4,1,3,7,8,6,8,3,8,8,8,8,7,4,0,0,2,1,4,1,4.57142857142857,3.14285714285714,2.57142857142857,3.42857142857143
375,"2/10/2023 14:13","pl","AC3",1,"1",0,"0",26,"1","0",0,NA,NA,"b","wealthy","sexy","artistic","sexy","sexy","artistic","sex","pathogen","moral","pathogen","moral","moral",0,0,6,0,0,4,0,0,0,0,0,1,0,0,5,0,0,2,0,0,1,4,8,5,6,6,9,7,7,8,6,2,0,3,1,3,2,1,0,2.71428571428571,0,0.904761904761905
376,"1/10/2023 13:28","pl",NA,1,"0",2,"1",23,"1","0",0,NA,NA,"b","sexy",NA,"artistic","artistic","wealthy","kind","moral","moral","moral","pathogen","moral","moral",2,2,2,3,0,1,0,0,3,2,1,1,3,2,2,1,3,5,3,0,1,4,8,10,8,10,6,9,9,9,9,NA,NA,NA,NA,5,1,0,2,2.14285714285714,1.14285714285714,1.76190476190476
377,"3/21/2023 13:39","en","game",1,"1",1,"0",58,"1","1",1,5,NA,"a","artistic","artistic","artistic","artistic","artistic","wealthy","moral","pathogen","moral","moral","moral","sex",2,3,2,4,2,5,2,5,1,4,2,1,4,2,3,5,1,5,1,5,4,4,3,3,4,8,4,8,8,9,4,5,0,0,1,4,1,1,3.14285714285714,3,2.85714285714286,3
378,"3/29/2023 16:13","en","game",1,"1",0,"0",35,"1","1",1,8,NA,"a","sexy","sexy","artistic","artistic","kind","wealthy","moral","pathogen","pathogen","moral","pathogen","moral",4,5,4,4,5,4,5,5,6,5,5,5,5,6,5,5,5,5,4,6,5,2,6,4,7,2,2,6,4,4,2,2,1,2,1,3,3,0,4.57142857142857,4.85714285714286,5.28571428571429,4.90476190476191
379,"3/29/2023 18:47","en",NA,1,"0",0,"1",47,"1","1",2,13,18,"b","wealthy",NA,"wealthy","artistic","artistic","kind","moral","sex","pathogen","pathogen","pathogen","moral",3,3,2,3,3,4,3,3,2,3,3,2,2,3,2,3,2,3,2,2,3,6,5,6,6,6,6,6,5,6,6,NA,NA,NA,NA,2,3,1,2.71428571428571,2.57142857142857,2.71428571428571,2.66666666666667
380,"2/13/2023 15:24","pl","AB12",1,"1",0,"0",22,"0","0",0,NA,NA,"a","artistic","artistic","artistic","sexy","kind","artistic","moral","moral","sex","sex","pathogen","moral",3,0,2,4,0,0,0,0,1,6,0,2,2,2,3,2,0,2,1,1,3,1,10,8,8,9,11,11,11,11,11,4,1,1,0,3,1,2,2.57142857142857,1.85714285714286,0.428571428571429,1.61904761904762
383,"2/6/2023 22:13","en","game",1,"1",0,"0",33,"0","0",0,NA,NA,"b","artistic","kind","artistic","kind","sexy","kind","moral","sex","moral","moral","moral","pathogen",1,2,3,3,1,2,2,1,3,3,2,2,3,2,3,3,1,2,3,1,3,8,6,6,6,7,6,6,8,6,6,2,3,1,0,4,1,1,2.57142857142857,2.57142857142857,1.42857142857143,2.19047619047619
384,"2/24/2023 1:44","en",NA,1,"0",2,"1",28,"1","0",0,NA,NA,"b","artistic",NA,"sexy","wealthy","sexy","sexy","pathogen","sex","sex","sex","moral","sex",1,1,6,6,0,2,3,1,3,5,2,5,6,1,4,6,6,6,6,6,6,7,6,7,7,7,6,6,8,7,7,NA,NA,NA,NA,1,1,4,4.71428571428571,4.57142857142857,2.42857142857143,3.9047619047619
386,"2/6/2023 22:57","en","game",1,"0",2,"1",20,"0","0",0,NA,NA,"b","artistic","artistic","wealthy","artistic","artistic","kind","pathogen","pathogen","sex","moral","sex","moral",2,5,6,6,4,5,5,5,3,5,6,3,6,2,4,6,4,5,6,4,5,9,6,7,5,7,7,7,8,6,6,4,1,0,1,2,2,2,5.14285714285714,4.42857142857143,4.28571428571429,4.61904761904762
387,"2/12/2023 12:22","pl",NA,1,"0",3,"0",19,"0","0",0,NA,NA,"a","artistic","wealthy","sexy","artistic","kind","kind","moral","moral","sex","moral","sex","sex",1,2,2,2,1,1,3,0,2,4,0,3,3,0,2,1,4,5,3,0,6,6,7,9,2,6,7,7,8,6,7,2,2,1,1,3,0,3,2.42857142857143,3,1,2.14285714285714
388,"2/6/2023 20:56","en","""game""",1,"0",1,"1",28,"1","1",2,3,5,"a","artistic","kind","artistic","wealthy","artistic","artistic","pathogen","sex","pathogen","moral","moral","moral",5,4,3,4,5,5,4,3,5,4,5,4,3,4,3,4,4,3,5,4,5,10,10,10,11,11,10,10,11,10,11,4,1,0,1,3,2,1,4.14285714285714,4,4.14285714285714,4.09523809523809
389,"1/10/2023 14:17","pl",NA,1,"0",1,"1",27,"1","0",0,NA,NA,"a","artistic","wealthy","kind","kind","wealthy","artistic","moral","sex","sex","moral","sex","sex",5,0,6,5,0,3,2,1,4,6,0,4,6,3,5,3,5,6,6,2,2,7,4,9,7,8,5,11,11,7,8,2,2,0,2,2,0,4,4.71428571428571,4.28571428571429,1.57142857142857,3.52380952380952
390,"12/16/2022 20:14","pl",NA,1,"0",1,"1",26,"0","0",0,NA,NA,"a","artistic","sexy","artistic","kind","artistic","artistic","moral","pathogen","sex","moral","pathogen","sex",2,4,5,4,2,1,0,3,2,3,4,1,1,3,2,4,2,3,4,3,2,5,5,7,6,4,3,7,6,6,7,4,1,1,0,2,2,2,2.57142857142857,2.28571428571429,3,2.61904761904762
392,"2/6/2023 20:51","en","game",1,"0",0,"1",25,"1","0",0,NA,NA,"b","wealthy","wealthy","artistic","kind","wealthy","artistic","moral","pathogen","pathogen","sex","pathogen","pathogen",4,3,4,3,4,3,0,0,3,3,3,3,4,3,4,3,4,3,4,3,4,2,2,3,4,3,5,5,5,2,5,2,1,0,3,1,4,1,3,3.42857142857143,2.85714285714286,3.0952380952381
393,"12/29/2022 22:40","pl",NA,1,"1",0,"0",22,"0","0",0,NA,NA,"b","artistic","wealthy","artistic","kind","artistic","sexy","sex","moral","sex","sex","moral","moral",4,3,2,6,0,2,2,1,0,6,1,5,2,0,2,1,0,3,6,2,4,7,8,9,8,6,8,7,6,8,6,3,1,1,1,3,0,3,3.85714285714286,2.57142857142857,1,2.47619047619048
394,"1/6/2023 0:37","pl","KG0902",1,"0",0,"1",21,"0","0",0,NA,NA,"b","wealthy","kind","sexy","kind","wealthy","artistic","pathogen","pathogen","pathogen","moral","sex","pathogen",3,5,4,5,0,2,2,0,3,5,3,3,3,2,3,4,4,2,5,0,1,5,7,8,3,5,5,9,8,6,7,1,2,1,2,1,4,1,3.85714285714286,2.57142857142857,2,2.80952380952381
395,"2/6/2023 20:37","en","game",1,"1",3,"1",32,"1","1",1,11,NA,"a","sexy","artistic","kind","wealthy","sexy","artistic","pathogen","sex","moral","pathogen","moral","moral",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,6,5,6,6,6,6,6,6,2,1,2,1,3,2,1,3,3,3,3
396,"1/28/2023 16:12","pl","INSTAGRAM STUDY",1,"0",5,"0",20,"2","0",0,NA,NA,"a","sexy","sexy","sexy","sexy","sexy","artistic","moral","moral","pathogen","pathogen","pathogen","moral",0,1,5,1,1,1,0,0,1,0,0,0,1,1,1,0,3,1,0,1,0,6,6,3,8,6,6,7,6,8,7,1,0,5,0,3,3,0,0.285714285714286,1.28571428571429,1,0.857142857142857
399,"2/10/2023 17:32","pl",NA,1,"0",5,"0",21,"1","0",0,NA,NA,"b","artistic",NA,"artistic","artistic","sexy","artistic","moral","pathogen","moral","moral","moral","moral",2,5,5,6,1,2,0,1,1,4,0,3,5,6,3,2,6,1,2,0,0,6,5,6,7,2,7,8,9,7,7,NA,NA,NA,NA,5,1,0,3,2.14285714285714,2.71428571428571,2.61904761904762
400,"12/28/2022 12:46","pl","AB12",1,"0",0,"1",18,"0","0",0,NA,NA,"b","artistic","artistic","kind","artistic","artistic","kind","moral","moral","pathogen","pathogen","pathogen","pathogen",5,6,5,6,6,2,4,6,1,6,6,6,6,6,6,4,6,6,6,6,6,6,3,7,6,1,6,9,11,6,7,4,2,0,0,2,4,0,5.28571428571429,4.57142857142857,6,5.28571428571429
401,"2/6/2023 23:38","en","game",1,"0",0,"1",38,"1","1",2,7,14,"b","artistic","sexy","artistic","artistic","artistic","kind","moral","sex","moral","moral","sex","moral",0,5,6,2,1,6,1,1,3,1,5,6,1,4,6,0,5,6,0,6,6,8,6,11,9,9,8,6,10,9,9,4,1,1,0,4,0,2,0.714285714285714,5.57142857142857,3.85714285714286,3.38095238095238
402,"3/29/2023 16:01","en","Game",1,"0",0,"1",25,"0","1",1,3,NA,"b","artistic","wealthy","wealthy","sexy","wealthy","artistic","pathogen","sex","moral","pathogen","moral","pathogen",0,6,6,6,4,3,4,5,4,6,5,6,4,6,4,2,4,6,6,6,3,11,11,11,11,11,11,11,11,11,11,2,0,1,3,2,3,1,4,4.57142857142857,5.14285714285714,4.57142857142857
403,"2/6/2023 20:38","en","game",1,"1",0,"0",55,"1","1",2,6,10,"a","wealthy","wealthy","wealthy","artistic","artistic","artistic","moral","moral","moral","pathogen","sex","pathogen",5,4,4,5,6,5,5,4,4,4,3,4,4,3,4,5,4,3,4,4,3,6,10,9,8,8,8,10,9,9,8,3,0,0,3,3,2,1,4.57142857142857,3.85714285714286,4,4.14285714285714
404,"3/21/2023 13:19","en","game",1,"1",5,"1",30,"1","0",0,NA,NA,"a","sexy","kind","kind","artistic","sexy","wealthy","pathogen","pathogen","moral","moral","moral","pathogen",6,1,2,2,3,5,3,3,3,3,3,3,2,4,3,2,4,3,2,3,2,3,10,3,4,4,6,7,5,8,6,1,2,2,1,3,3,0,2.85714285714286,3,3,2.95238095238095
405,"3/7/2023 18:56","en","game",1,"1",0,"0",27,"1","1",1,1,NA,"a","artistic","artistic","kind","artistic","kind","kind","moral","moral","moral","pathogen","sex","pathogen",4,2,5,2,4,4,3,5,5,4,5,4,3,5,2,1,3,2,5,3,4,9,10,7,10,8,11,11,10,9,10,3,3,0,0,3,2,1,3.14285714285714,3.71428571428571,3.85714285714286,3.57142857142857
406,"2/23/2023 23:56","en","game",1,"1",1,"0",32,"1","1",1,2,NA,"a","artistic","artistic","sexy","artistic","sexy","sexy","moral","moral","moral","moral","moral","sex",5,1,1,3,2,2,4,0,3,3,2,3,3,1,1,4,1,4,4,1,1,7,8,9,10,9,8,8,8,9,8,3,0,3,0,5,0,1,3.71428571428571,2.14285714285714,1.14285714285714,2.33333333333333
408,"3/29/2023 16:19","en","game",1,"0",0,"1",34,"1","1",2,12,14,"b","artistic","sexy","sexy","artistic","sexy","kind","sex","sex","moral","moral","moral","pathogen",6,3,6,6,0,4,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,11,6,6,6,9,10,9,10,2,1,3,0,3,1,2,6,5.71428571428571,4.28571428571429,5.33333333333333
411,"2/6/2023 23:35","en",NA,1,"0",3,"1",37,"1","0",0,NA,NA,"b","sexy","sexy","kind","artistic","sexy","sexy","moral","sex","sex","moral","moral","sex",1,1,5,5,1,0,4,0,3,3,4,1,2,1,3,3,4,4,2,4,5,6,8,7,6,6,6,7,8,6,7,1,1,4,0,3,0,3,2.85714285714286,3,2.14285714285714,2.66666666666667
412,"12/16/2022 17:29","pl",NA,1,"1",1,"0",32,"1","0",0,NA,NA,"b","artistic","kind","artistic","kind","artistic","artistic","pathogen","moral","sex","moral","moral","moral",1,1,5,6,0,0,1,0,1,5,0,4,3,0,3,5,2,1,6,0,1,7,6,7,6,8,6,8,8,7,6,4,2,0,0,4,1,1,3.85714285714286,2.14285714285714,0.428571428571429,2.14285714285714
414,"12/29/2022 15:44","pl","AB12",1,"0",0,"1",23,"0","0",0,NA,NA,"a","artistic","wealthy","sexy","kind","sexy","artistic","moral","pathogen","sex","moral","sex","moral",6,0,4,4,0,3,3,1,1,5,3,2,4,3,4,4,4,3,4,6,2,3,6,7,6,7,6,6,6,6,6,2,1,2,1,3,1,2,4.28571428571429,2.71428571428571,2.42857142857143,3.14285714285714
